Date,USDT/INR
2023-01-01,84.07
2023-01-02,84.05
2023-01-03,84.15
2023-01-04,84.38
2023-01-05,84.34
2023-01-06,84.31
2023-01-07,84.55
2023-01-08,84.66
2023-01-09,84.59
2023-01-10,84.67
2023-01-11,84.6
2023-01-12,84.53
2023-01-13,84.57
2023-01-14,84.28
2023-01-15,84.02
2023-01-16,83.94
2023-01-17,83.79
2023-01-18,83.83
2023-01-19,83.7
2023-01-20,83.49
2023-01-21,83.71
2023-01-22,83.67
2023-01-23,83.68
2023-01-24,83.47
2023-01-25,83.39
2023-01-26,83.4
2023-01-27,83.23
2023-01-28,83.29
2023-01-29,83.2
2023-01-30,83.15
2023-01-31,83.06
2023-02-01,83.34
2023-02-02,83.34
2023-02-03,83.18
2023-02-04,83.3
2023-02-05,83.12
2023-02-06,83.15
2023-02-07,82.86
2023-02-08,82.66
2023-02-09,82.69
2023-02-10,82.8
2023-02-11,82.82
2023-02-12,82.81
2023-02-13,82.76
2023-02-14,82.54
2023-02-15,82.43
2023-02-16,82.36
2023-02-17,82.52
2023-02-18,82.57
2023-02-19,82.31
2023-02-20,82.36
2023-02-21,82.3
2023-02-22,82.2
2023-02-23,82.29
2023-02-24,82.44
2023-02-25,82.58
2023-02-26,82.46
2023-02-27,82.41
2023-02-28,82.46
2023-03-01,82.61
2023-03-02,82.54
2023-03-03,82.51
2023-03-04,82.34
2023-03-05,82.16
2023-03-06,82.28
2023-03-07,82.49
2023-03-08,82.48
2023-03-09,82.63
2023-03-10,82.68
2023-03-11,82.59
2023-03-12,82.64
2023-03-13,82.87
2023-03-14,82.87
2023-03-15,83.1
2023-03-16,82.71
2023-03-17,82.83
2023-03-18,82.84
2023-03-19,82.8
2023-03-20,82.81
2023-03-21,82.51
2023-03-22,82.48
2023-03-23,82.53
2023-03-24,82.76
2023-03-25,82.68
2023-03-26,82.56
2023-03-27,82.48
2023-03-28,82.62
2023-03-29,82.67
2023-03-30,82.59
2023-03-31,82.67
2023-04-01,82.68
2023-04-02,82.83
2023-04-03,82.72
2023-04-04,82.67
2023-04-05,82.61
2023-04-06,82.39
2023-04-07,82.44
2023-04-08,82.48
2023-04-09,82.48
2023-04-10,82.44
2023-04-11,82.23
2023-04-12,82.17
2023-04-13,82.12
2023-04-14,82.0
2023-04-15,81.97
2023-04-16,82.03
2023-04-17,82.31
2023-04-18,82.34
2023-04-19,82.38
2023-04-20,82.37
2023-04-21,82.08
2023-04-22,82.08
2023-04-23,82.09
2023-04-24,82.45
2023-04-25,82.43
2023-04-26,82.47
2023-04-27,82.47
2023-04-28,82.29
2023-04-29,82.46
2023-04-30,82.57
2023-05-01,82.69
2023-05-02,82.56
2023-05-03,82.77
2023-05-04,82.56
2023-05-05,82.65
2023-05-06,82.97
2023-05-07,82.83
2023-05-08,82.74
2023-05-09,82.76
2023-05-10,82.68
